anon_id,page,input_sha256,male,female,ferrule,unknown,total,candidates,detections_sha256
example_14.pdf,0,4b48c552d09f1929db204fcea1b477fac6c8c5bb409942154a0d38e6f5c3b4ad,26,34,0,1,61,65,636d6dbd9d8038a60d1ce50bba5cfa9893f2bea2f15002babd524d1f1e4d70b1
example_15.pdf,0,f35f2c6835c912a4dd7ca6623e0ae61fe7bc2f61ef0df3afab467a2687788cb1,4,8,0,1,13,15,53ab193920690425d1d5968c07dbade455a159c32fa4729bc06ab912ad4be56f
example_16.pdf,0,3ce2ca1eb1cb887fe2e3d6f4b20a096ec0279bbb0c61e0393e854b497263e5c3,2,0,3,5,10,10,3dd8a0dcf13116c7b0dc922a5d0e8044fdccf332013edbf719175d47a8b0ed0e
example_17.pdf,0,6b83bbf462e25014a1332c33e8a0dc8a799a22738cfe2964fc7cb7fd3ef1c248,0,4,0,4,8,8,e4b7afa0127810077c308a4fcbc305aa52948c29a4df46a8263e69fbb3915b93
example_18.pdf,0,37327ab20ade582c29d91f023bfbbd8a52b661cc375c2109ff0f52347c8aa23b,3,3,0,0,6,8,30927ca7f42019859e43f669da6f9769acdd872b9de73c5d341c00ee31c3fe20
example_19.pdf,0,a466a988d4609cfa6813d9ae5e84303f3a2f00234691ccec12b9c46333198819,0,0,14,0,14,14,0b5bf686ecea6cff9cac79fa2430763b4c49aef165bc2ecea9d3b2fe47c5f3f0
example_20.pdf,0,ba62c29d682ac8231fa6ec4efa4f1080b423bc686f38e4e268007b5364ea4861,0,10,6,4,20,20,e74a5eda5875382984df51cac022a629d43c6262b32698cda21cb4931811a79a
example_21.pdf,0,34b3640ef9407e830e2dd6847257e343c0fbf436a006d10e9284bd070e764a7a,6,7,0,0,13,14,73ccd7a94b5eb9b70b95ddd6336176c3feb6be7bc60cb9de12bcdb8d2e4ae18f
example_22.pdf,0,4685e48daeceef2483f4d13552a8179f1b2c476b198fa9472aad0929137a9b12,8,0,3,5,16,16,4089a99e1fed416043e0d4bb2fd2b9a578f72d33b1666f682e0836303bf1b40a
example_23.pdf,0,40de2f6a944dd3d7ee4324c271a5dcdff3374ef9a1b9edc781a7edf88d7870f6,12,0,0,2,14,16,166b8b23c0cdec1fe8b6c016aff2b6bd54ed3ea11c434d7af01be305191345a8
example_24.pdf,0,5a42550c2a63e53d7d5c070b568e732b329c159fa6cb310b67dba56db5e44fed,8,12,0,0,20,21,543be43a16d2ab2e794f2fe5537cff4197e6bf55a4031d919e73209ac9c8d98a
example_25.pdf,0,86d47b36c2c3e034a3c4abe6b7d024718dbad55a810f8ee5819ec1b5bf5ba925,3,0,2,1,6,6,4439915b4a0711a69ce636848d317973cb9d7d4dd7c3026f91913affcafa1779
example_26.pdf,0,a2b2be8fc9d854b11ad263f55c6e6451db1fae0dbc0c392c8b1eb8c9e233f8c7,10,14,0,7,31,32,f29a972a3b1431752353fbe515d86fa06b2c438757e134f328bb41dd18cd6ede
example_27.pdf,0,85dda66685484e612d3cea453860863ec034ac69f3ca683363284714db5074ab,4,4,0,0,8,8,a35338a4756725c81034549a36214577a8cde0ee9b898acc07315cfa43155c9f
example_28.pdf,0,8ce843b58d1bf3b5bce99c7788c0f28b3fe653c7567dddf7540269d09a052ffd,4,4,0,0,8,8,2f1a4d415fbad564e4dc61f4aabdd17bec46f8c19d8d9ad38c3a2aeb764751de
example_29.pdf,0,5d90a552b59081257a91e2da142995437db9f7adc1d1852d82a3ad909d6e61d3,15,19,0,9,43,44,a636809f5766e3e5649879d4e4a5178a3b7bbc5a1871a5356ee6347cba5f3a3c
example_30.pdf,0,a996964ee656582ae9ea97eaab34fb81a5c741992589a61f25d84c6823e5568e,2,3,1,0,6,6,e157ccd548c111a124113008ef35e2f1748d4340c9bc45472d5d01946731f177
example_31.pdf,0,925526e71da161a47b9e50efb98124a65c01e7745cb3ccc26ab1f6b18516c3ff,6,6,0,0,12,15,b5242985415a77eeea63b3f3b3ff9de3fe221ad506768d2891e43f3768b21650
example_32.pdf,0,c6a96e45de0b048f0096971e28bfb80e9ffde62cd6c4a1a888754b31dcb4a627,4,8,0,4,16,20,1844755ac9ca5362b57db7d8508934afd84ddeb7008c1374acc436bfb7daf198
example_33.pdf,0,20065763da035d55bd89bfa06e4436caaa1954c00738355ea2f1f1eb7b68f21f,4,4,0,0,8,10,9147231feafd656618d7e0329543950927d264a0bfc2a7dc4dcc45b609f2acbf
example_34.pdf,0,3f3d61ffc957d10a2bfcf5f61ee3e1476da5dc527cfb3e849856fa16bb13f272,2,0,0,0,2,2,ee20a9e4b9f31ed0ee86fc5b9d3e1be9b2302818add9b584b094fbacb410827d
example_35.pdf,0,0ceb9e9794e2b4ce0443d02eda1b2de11658819da4c23433bffb92de892fc87a,0,0,0,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
